sp;epi;mating;n
Austruca_annulipes;annulipes;burrow;6
Tubuca_arcuata;arcuata;surface;17
Leptuca_beebei;beebei;burrow;44
Tubuca_bellator;bellator;surface;6
Tubuca_capricornis;capricornis;surface;2
Paraleptuca_chlorophthalmus;chlorophthalmus;surface;3
Tubuca_coarctata;coarctata;surface;3
Paraleptuca_crassipes;crassipes;surface;4
Leptuca_crenulata;crenulata;burrow;5
Leptuca_cumulanta;cumulanta;burrow;3
Leptuca_deichmanni;deichmanni;burrow;48
Tubuca_elegans;elegans;burrow;2
Tubuca_flammula;flammula;surface;9
Xeruca_formosensis;formosensis;burrow;1
Gelasimus_hesperiae;hesperiae;surface;8
Austruca_lactea;lactea;surface;6
Leptuca_latimanus;latimanus;burrow;4
Leptuca_leptodactyla;leptodactyla;burrow;4
Tubuca_longidigitum;longidigitum;surface;6
Uca_maracoani;maracoani;burrow;5
Minuca_minax;minax;burrow;6
Uca_ornata;ornata;burrow;1
Leptuca_panacea;panacea;burrow;5
Petruca_panamensis;panamensis;surface;10
Tubuca_paradussumieri;paradussumieri;burrow;4
Tubuca_polita;polita;surface;7
Uca_princeps;princeps;surface;1
Leptuca_pugilator;pugilator;burrow;50
Minuca_pugnax;pugnax;burrow;50
Minuca_rapax;rapax;burrow;4
Tubuca_rhizophorae;rhizophorae;surface;5
Tubuca_rosea;rosea;surface;2
Leptuca_saltitanta;saltitanta;burrow;30
Tubuca_signata;signata;surface;3
Austruca_sindensis;sindensis;burrow;6
Leptuca_speciosa;speciosa;burrow;6
Leptuca_stenodactylus;stenodactylus;burrow;50
Leptuca_terpsichores;terpsichores;burrow;50
Gelasimus_tetragonon;tetragonon;surface;7
Gelasimus_vocans;vocans;surface;5
Minuca_vocator;vocator;surface;5
Gelasimus_vomeris;vomeris;surface;8
