sp;ind;carapace;claw_size;prop_fxh;tip_adv;tub_adv;mating;polex;manus;in.lever;out.lever1;out.lever2
Austruca_annulipes;annulipes_01;1.35;1.839;1.003278689;0.268146883;0.775308642;burrow;0.918;0.915;0.314;0.405;1.171
Austruca_annulipes;annulipes_02;1.52;2.556;1.012598425;0.229342327;0.868085106;burrow;1.286;1.27;0.408;0.47;1.779
Austruca_annulipes;annulipes_03;1.23;1.375;1.016176471;0.196035242;0.763948498;burrow;0.691;0.68;0.178;0.233;0.908
Austruca_annulipes;annulipes_04;1.155;1.413;0.81748072;0.259259259;0.498850575;burrow;0.636;0.778;0.217;0.435;0.837
Austruca_annulipes;annulipes_05;1.15;1.394;0.890243902;0.261704682;0.798534799;burrow;0.657;0.738;0.218;0.273;0.833
Austruca_annulipes;annulipes_06;1.7;2.637;0.996976568;0.268784362;0.472610097;burrow;1.319;1.323;0.44;0.931;1.637
Tubuca_arcuata;arcuata_01;2.16;2.467;0.852852853;0.272915231;0.337883959;surface;1.136;1.332;0.396;1.172;1.451
Tubuca_arcuata;arcuata_02;3.25;5.498;1.195686901;0.211027714;0.407924107;surface;2.994;2.504;0.731;1.792;3.464
Tubuca_arcuata;arcuata_03;2.62;2.968;1.234939759;0.201777313;0.262050238;surface;1.64;1.328;0.386;1.473;1.913
Tubuca_arcuata;arcuata_04;3.275;5.725;1.308095046;0.196094168;0.814444444;surface;3.248;2.483;0.733;0.9;3.738
Tubuca_arcuata;arcuata_05;2.725;4.093;1.170201485;0.22398524;0.308434959;surface;2.207;1.886;0.607;1.968;2.71
Tubuca_arcuata;arcuata_06;3.25;5.857;1.372215472;0.196670135;0.273913043;surface;3.388;2.469;0.756;2.76;3.844
Tubuca_arcuata;arcuata_07;3.36;6.259;1.565805658;0.176863181;0.26740666;surface;3.819;2.439;0.795;2.973;4.495
Tubuca_arcuata;arcuata_08;2.925;4.902;1.093162393;0.227588603;0.422853454;surface;2.558;2.34;0.655;1.549;2.878
Tubuca_arcuata;arcuata_09;2.39;3.222;0.882009346;0.255377827;0.486344538;surface;1.51;1.712;0.463;0.952;1.813
Tubuca_arcuata;arcuata_10;2.515;3.718;1.436232832;0.193333333;0.244467861;surface;2.196;1.529;0.464;1.898;2.4
Tubuca_arcuata;arcuata_11;2.605;3.589;1.047347404;0.258173619;0.415985468;surface;1.836;1.753;0.458;1.101;1.774
Tubuca_arcuata;arcuata_12;2.455;3.192;0.966728281;0.258823529;0.593068036;surface;1.569;1.623;0.462;0.779;1.785
Tubuca_arcuata;arcuata_13;2.77;3.907;0.984756098;0.270593446;0.586935639;surface;1.938;1.968;0.611;1.041;2.258
Tubuca_arcuata;arcuata_14;3.06;5.512;1.495703302;0.183662714;0.262820513;surface;3.307;2.211;0.697;2.652;3.795
Tubuca_arcuata;arcuata_15;2.485;3.334;0.963486455;0.24893617;0.568651276;surface;1.636;1.698;0.468;0.823;1.88
Tubuca_arcuata;arcuata_16;2.265;2.433;1.054898649;0.247282609;0.319578578;surface;1.249;1.184;0.364;1.139;1.472
Tubuca_arcuata;arcuata_17;1.94;1.862;0.649247121;0.312938816;0.6277666;surface;0.733;1.129;0.312;0.497;0.997
Leptuca_beebei;beebei_01;1.1;1.769;1.154689403;0.210848644;NA;both;0.948;0.821;0.241;NA;1.143
Leptuca_beebei;beebei_02;1.025;1.587;1.274678112;0.198555957;NA;both;0.891;0.699;0.22;NA;1.108
Leptuca_beebei;beebei_03;0.955;1.764;1.241423126;0.209005947;NA;both;0.977;0.787;0.246;NA;1.177
